Id,Probability
1,0.05484130053896861
2,0.049472138574894194
3,0.01755376460628854
4,0.08288757471563647
5,0.10009002806017402
6,0.02775808680731216
7,0.04604881450974041
8,0.02219159301562552
9,0.007516620033433689
10,0.620773884274367
11,0.014317719591057527
12,0.01680640550760223
13,0.013751826986413765
14,0.05814648488930866
15,0.04475471310089303
16,0.019647590670634662
17,0.02687638135197968
18,0.0199194643059063
19,0.22780180636733247
20,0.06534086775816238
21,0.01257517461636675
22,0.01312772054334105
23,0.008363968900714258
24,0.5229203359074526
25,0.06928678964478577
26,0.01657733280343218
27,0.06853291086724919
28,0.013346449140698954
29,0.05104720979304042
30,0.024240888652763252
31,0.0492528463442189
32,0.013086053791166787
33,0.019529321017451244
34,0.0452710575546804
35,0.2867161281789266
36,0.04106290684679476
37,0.028540931243228936
38,0.017718178242742813
39,0.013475683508443331
40,0.0627290683117311
41,0.32228099726400206
42,0.26348950015181544
43,0.05566798272125734
44,0.009870998230924945
45,0.08044187658769314
46,0.01150208552471346
47,0.00847277607846301
48,0.021395060343583412
49,0.019926650817460995
50,0.036414678390031485
51,0.018512324923595534
52,0.012360462465571882
53,0.012050003283979841
54,0.053744099455001075
55,0.019496564567156958
56,0.06589310527532187
57,0.01208158589359915
58,0.12858078344495893
59,0.08658800751452202
60,0.08045544843001821
61,0.016689158070562864
62,0.010460975568566677
63,0.024681100592610736
64,0.011810726286936852
65,0.021050521367730446
66,0.023120208175549543
67,0.014900392419222145
68,0.108428752542897
69,0.00908109470022958
70,0.507313826932025
71,0.017738746988095102
72,0.07611152479293509
73,0.00900400036824648
74,0.210802075177769
75,0.01512560336180941
76,0.027194271741578648
77,0.05536929648189674
78,0.03977821805993388
79,0.020926894929206265
80,0.022728134690561452
81,0.01683164511633817
82,0.012157823971352281
83,0.03549704045153472
84,0.011001593809025483
85,0.021571120303750174
86,0.016327071963474264
87,0.05732991346311842
88,0.016894989142659467
89,0.030205603201191804
90,0.04048433310841842
91,0.03289369340986052
92,0.01671099695084725
93,0.012133442794811784
