SeriousDlqin2yrs;Prob
0;0.06569972639152132
1;0.2961470719232606
0;0.010444146110315687
0;0.10918541719599266
1;0.9161465145561771
0;0.021209402250569116
0;0.01722633467517618
0;0.02668886347665049
1;0.3555849687577817
0;0.04942337709581887
1;0.29795914560328385
0;0.04630279260469925
0;0.16817066770405867
0;0.07395733831629345
0;0.014328184923633545
0;0.011864358663400739
0;0.024698012599952586
0;0.2638128145557199
0;0.07468869018425493
0;0.056386993139853334
0;0.03731790698872085
0;0.010197959817036462
0;0.007360432454446472
0;0.3055066795558472
0;0.01577227719400108
1;0.35169979532222384
0;0.01054308412013587
0;0.019867238094453295
0;0.049813040459459
0;0.011871582751673507
0;0.028507421447298394
0;0.007339522050659645
0;0.008508685270864897
0;0.0052985036498731175
0;0.007089251295557996
0;0.017131221878951237
0;0.01632348311763849
0;0.02535127852765827
0;0.013186305115308085
1;0.024610214643958555
0;0.023417300741389206
0;0.061595559235793046
0;0.08198423174474909
0;0.1246851894792586
0;0.009486109883278082
0;0.022831612958487964
0;0.10779923281869011
0;0.026533871996644434
0;0.02347193193677649
0;0.04194758567483698
0;0.06912345084198754
0;0.011340384749557595
0;0.017098659265802
0;0.06031995223423187
0;0.012841500370203223
0;0.0191927783239258
0;0.03230527074603417
0;0.027303343155724132
0;0.07663761932298065
0;0.018098819101732094
0;0.048404766891645995
0;0.023608655437980092
1;0.077802753688672
0;0.01946351938988133
0;0.02934502118457377
0;0.042758504673099766
0;0.009833195342912658
0;0.01059604099511109
0;0.01699471545358462
0;0.3565886594373818
0;0.015361989415118998
0;0.013938686365552207
0;0.015625262223566833
0;0.06832238899985413
1;0.4646589522711735
0;0.0160701083428669
0;0.032587296584611854
0;0.06332057698963588
0;0.05309966110910573
0;0.025451862224298245
0;0.13648260431074544
0;0.06925943442160598
0;0.09831301621545424
0;0.014640555701637397
0;0.011523513086754844
0;0.08290159179448246
0;0.04098397073282577
0;0.021568489556131103
0;0.04924394660405016
0;0.007894590930651025
1;0.3613405500078229
0;0.013595454165383079
0;0.008553438937777647
0;0.08334345204519861
0;0.014231190767975752
0;0.015991398742775272
0;0.0068424172093059605
1;0.36377058786498456
0;0.03504957791567263
0;0.05222429593432353
0;0.04737702070109852
0;0.008852290790118489
0;0.059034029590602895
0;0.01076725429159057
0;0.06744349511637691
0;0.02043353697825296
0;0.13430500271510926
0;0.3680406424163329
0;0.0110837979242995
0;0.02135475495021267
0;0.018593514932758702
1;0.2932709130657467
0;0.09151063462778908
0;0.015863126992619686
0;0.037700182783115446
0;0.007794038808363594
0;0.01900292268470198
0;0.01725673573570501
0;0.014450078077283933
0;0.019101910288090333
0;0.012142810766167229
0;0.029981992104695696
0;0.03171013427354965
0;0.016453432828430915
1;0.007466045551499642
0;0.04712411549914765
0;0.009573926017965272
0;0.02176692132854856
0;0.060865158607727794
0;0.15035030702882743
0;0.09390060360780547
0;0.014856701330802755
0;0.0633580801339955
0;0.00969399303727265
0;0.028692946905580573
0;0.015902572544515985
0;0.025736411814856166
0;0.02591282710289762
0;0.013096927540061268
0;0.056534775735304736
0;0.02589507674221214
0;0.007957789943768933
0;0.021445155801295468
0;0.012082447759728466
0;0.027700795393700454
0;0.037815548247929306
0;0.01574973021680548
0;0.014253764238064699
0;0.0872726297289277
0;0.012656337559317738
0;0.019799628087939176
0;0.07584349151313048
0;0.012094259040050296
0;0.013760666817374355
0;0.01946649332452174
0;0.012985113056360928
0;0.027752594762330784
0;0.5141565725655842
0;0.04946105817667218
0;0.09778216946603145
0;0.11510357795534268
0;0.12872584356953212
0;0.019692426576043053
0;0.04119194889223617
0;0.033487194848788884
0;0.015566642789689385
0;0.01776555713910025
0;0.07445373006151963
0;0.02092885992343565
0;0.010736194241276373
0;0.06229515923210676
0;0.019543300105626937
1;0.009483314143699581
0;0.08753884583645478
0;0.1632566798991144
0;0.20498541773337234
0;0.06090291849028524
0;0.019057100151775423
1;0.46996359383529224
0;0.015558230173069313
0;0.015262118487037457
0;0.014790460992323418
0;0.06362182465280293
0;0.08237938891286481
0;0.9764449052910855
0;0.028997081418109253
0;0.02286817326127869
0;0.008116938798494056
0;0.27166260327468245
1;0.45276844277210593
0;0.014433982167700463
0;0.021017176794469614
0;0.03668555674545419
0;0.015669294625557138
0;0.01945201563985831
0;0.05217849647510156
0;0.028399539597865422
0;0.010335484583367313
0;0.013767214327106111
