tariff_id;credit_sum;monthly_income;open_account_flg
1_4;33579.0;36000.0;0
1_32;23511.0;45000.0;0
1_5;39990.0;50000.0;0
1_3;3490.0;35000.0;0
1_6;36358.0;50000.0;0
1_1;13209.0;60000.0;0
1_1;15192.05;25000.0;0
1_32;27894.0;42600.0;1
1_1;16116.47;20000.0;1
1_7;3712.77;20000.0;0
1_6;58789.0;33000.0;0
1_6;53188.0;52000.0;0
1_1;32567.0;33000.0;0
1_32;36507.0;35000.0;1
1_6;16069.0;24000.0;0
1_1;46568.0;40000.0;1
1_1;11190.0;27000.0;1
1_5;7578.0;23000.0;0
1_1;30248.0;25000.0;0
1_1;10019.0;35000.0;0
1_1;48369.0;90000.0;0
1_3;44287.0;80000.0;0
1_1;42878.0;65000.0;0
1_1;17353.33;30000.0;0
1_1;58789.0;64000.0;0
1_22;48834.0;22000.0;0
1_1;22889.0;25000.0;0
1_1;17704.55;35000.0;1
1_1;4990.0;15000.0;0
1_1;29278.0;20000.0;1
1_3;6391.0;25000.0;1
1_6;12609.0;45000.0;0
1_6;18629.0;30000.0;0
1_32;26165.0;40000.0;0
1_1;15260.0;23000.0;0
1_1;11824.44;16000.0;0
1_1;17580.0;33000.0;0
1_32;18945.0;25000.0;0
1_6;15338.0;50000.0;0
1_6;24909.0;27000.0;0
1_4;19190.0;32000.0;1
1_1;46368.0;29000.0;0
1_1;4490.0;12800.0;1
1_1;15668.0;17000.0;0
1_6;19719.0;15000.0;0
1_5;9192.05;15000.0;0
1_1;7219.0;20000.0;1
1_3;7992.0;50000.0;0
1_6;18568.0;32000.0;0
1_6;45588.0;70000.0;0
1_9;50348.7;70000.0;0
1_3;53639.0;50000.0;0
1_1;7863.33;7000.0;0
1_6;27089.0;20000.0;0
1_6;48023.0;50000.0;0
1_1;18986.0;60000.0;0
1_1;26688.0;25000.0;0
1_4;22318.0;20000.0;0
1_1;14378.0;30000.0;1
1_1;14618.0;25000.0;0
1_6;29473.17;58000.0;0
1_32;16311.0;28000.0;0
1_1;10639.0;53000.0;0
1_32;16134.0;60000.0;1
1_1;27969.0;25000.0;0
1_1;62867.0;27000.0;0
1_32;20911.11;50000.0;0
1_32;21523.0;60000.0;1
1_16;43191.0;45000.0;1
1_1;11029.0;30000.0;0
1_1;21719.0;63000.0;0
1_6;17725.0;50000.0;0
1_3;24507.34;45000.0;0
1_1;24668.0;30000.0;0
1_1;48568.0;52000.0;0
1_1;68769.0;100000.0;0
1_1;69464.0;125000.0;0
1_43;18559.0;40000.0;0
1_1;22929.0;60000.0;0
1_1;12518.0;45000.0;0
1_1;25608.0;70000.0;0
1_1;46088.0;400000.0;0
1_1;6490.0;9000.0;0
1_1;15990.0;35000.0;1
1_6;45378.0;45000.0;0
1_1;5180.0;39000.0;0
1_1;17329.0;38000.0;0
1_6;56178.0;80000.0;0
1_1;19295.0;25000.0;0
1_6;17889.0;43000.0;0
1_6;8950.0;25000.0;0
1_1;11759.0;25000.0;0
1_6;14887.0;20000.0;0
1_1;11269.0;35000.0;0
1_1;11729.0;25000.0;0
1_1;21069.0;22000.0;0
1_22;52641.9;120000.0;0
1_1;29589.0;90000.0;0
1_5;19287.0;24500.0;0
1_6;62068.0;100000.0;0
1_6;12687.1;18000.0;1
1_1;5684.0;40000.0;1
1_32;18945.0;11500.0;0
1_1;22990.0;35000.0;0
1_6;26338.0;40000.0;0
1_32;28877.0;40000.0;0
1_1;65118.0;40000.0;0
1_5;23296.0;70000.0;0
1_9;59990.0;45000.0;0
1_1;27635.0;35000.0;0
1_1;42990.0;60000.0;0
1_1;16089.0;40000.0;0
1_1;16453.41;23000.0;1
1_43;13267.0;23000.0;0
1_16;75647.0;68000.0;0
1_32;19774.0;15000.0;1
1_1;42258.0;30000.0;0
1_32;17687.0;25000.0;0
1_1;25228.0;30000.0;0
1_0;31580.0;70000.0;0
1_1;27868.0;50000.0;0
1_1;21600.0;28000.0;1
1_1;17360.0;20000.0;0
1_6;29679.0;35000.0;0
1_6;22518.0;27000.0;0
1_1;16018.0;30000.0;0
1_1;12588.0;15000.0;0
1_1;24990.0;27000.0;0
1_1;16778.0;25000.0;0
1_5;14208.0;17000.0;0
1_6;26508.0;40000.0;0
1_1;5140.0;12394.0;1
1_6;69347.0;34000.0;0
1_1;18918.0;33000.0;0
1_6;30588.3;23000.0;0
1_1;16656.82;35000.0;1
1_9;8565.0;40000.0;0
1_1;25658.0;43000.0;0
1_1;9329.0;24500.0;1
1_4;6757.14;20000.0;0
1_6;17898.0;35000.0;1
1_1;14968.0;36000.0;0
1_1;13209.0;22000.0;0
1_32;20543.33;70000.0;1
1_6;20451.14;18000.0;1
1_1;20519.0;20700.0;0
1_6;19432.0;25000.0;0
1_5;8990.0;120000.0;0
1_1;15590.0;35000.0;0
1_32;18867.78;18000.0;0
1_0;46780.0;30000.0;0
1_1;3379.0;23500.0;1
1_1;25519.0;50000.0;0
1_5;40000.0;30000.0;0
1_1;9629.0;40000.0;1
1_1;14519.0;50000.0;0
1_1;29878.0;40000.0;0
1_44;16988.0;35000.0;0
1_9;43191.0;80000.0;0
1_1;46293.0;156000.0;0
1_6;11194.0;17000.0;1
1_1;18189.0;58520.0;0
1_6;29578.0;27000.0;0
1_6;8351.2;110000.0;0
1_4;9980.0;40000.0;0
1_1;29277.0;35000.0;1
1_6;18629.0;35000.0;0
1_1;15819.0;20000.0;1
1_32;18758.89;30000.0;0
1_5;34990.0;50000.0;0
1_1;12118.0;30000.0;0
1_6;16758.0;25000.0;0
1_1;20889.0;40000.0;0
1_44;30000.0;90000.0;0
1_44;7019.0;50000.0;1
1_5;18990.0;35000.0;0
1_3;24569.0;25000.0;0
1_1;14958.0;16000.0;1
1_1;16609.0;40000.0;0
1_1;9921.11;25000.0;0
1_1;22359.0;30000.0;0
1_32;17821.0;32000.0;0
1_5;16110.9;20000.0;0
1_4;10870.0;23000.0;0
1_44;34429.0;32000.0;0
1_6;33449.0;70000.0;0
1_6;39861.0;60000.0;0
1_1;25217.0;20000.0;0
1_6;13108.0;21000.0;0
1_6;32578.0;60000.0;0
1_1;7519.0;10400.0;0
1_4;21990.0;32000.0;0
1_32;26298.0;80000.0;1
1_4;44289.0;60000.0;0
1_4;11450.0;30000.0;0
1_6;20488.0;35000.0;0
1_32;22081.11;35000.0;1
1_6;27078.0;20000.0;0
1_6;16489.0;25000.0;0
1_5;10602.0;25000.0;0
